angle ,thickness ,2,,,,,,,,390,7.8,16.1,,,
,size,200X165,365,,,,,1195,,1180,,,1200,,
,Qty,20 Pcs,,,,,365,10,Pcs ,,,,,,
,length,3000,,,,,415,10,Pcs ,3,805,,,,
,,,,,,,50,30,Pcs ,90,,,144,,58
edge trim,thickness ,2,,,,,,,,,,,,,19.33333333
,size,300X100X15,415,,,1220 Need, 10 Pcs ,,,3 Pcs,,,2Pcs,,1000
,Qty,15 Pcs,,,,,,25,,,40,,20,,
,length,3000,,,,,,11.79,,,5,,220,,
,,,,,,,,,,,3.7728,,0.9432,,27.117
strap,thickness ,2,,,,,,,,,0.2358,,10.3752,,
,size,25X25,50,,,,,,,,,,,,
,Qty,250 Pcs,,,,Raw Material Weight,,,,,,,,,
,length,1000,,,,total Pcs ( 1220 ),,15 Pcs ,,,,,,,
,,,,,,weight Per Pcs ,,57.5352,,,,,,,
,,,,,,total Weight,,863.028,,,28.689,,,,
,,,,,,coast per Ton,,4000 AED/Ton,,,,,,,
,,,,,,Total cost (AED),,3452.112,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Selling(AED/Kg),,5,,,,,,,
,,,,,,total Sale (AED),,4315.14,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,finish Product,weight /m,weight /Pcs,total weight,,Selling Price /Pcs,,,,
,,,,,,365,5.7378,17.2134,344.268,,89,,,,
,,,,,,415,6.5238,19.5714,293.571,,101,,,,
,,,,,,50,0.786,0.786,196.5,,4,,,,
,,,,,,,,,834.339,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,4315.14,834.339,,,,,,,
,,,,,,,5.171926519,,,,,,,,
